User Name,Review Date,Comment Text,Rating
andrescalderon-27325,16 November 2023,"I understand the cyclical aspect of what they try to say with the ending...and it doesnt bother me as much as some people. But three things bothers me alot. First, it reminds me so much of the watchmen ending...I mean, the need to villainize someone or something with mass destruction to ensure unity. I'm sure there must be other comics, mangas, graphic novels, film or series that does the same thing and did it first, but to me it reminds me to Watchmen. And it bothers me, because Watchmen did it so much better! Second thing that bothers me is Eren's reaction to his demise. Given the nature of the powers of the attack titan, he was acting so sure of himself, so asertive... just to crack like a little baby in his last moments!? I understand that people can break down, especially in high stake situations like this, but again, given the nature of the powers of the attack titan it seems rather pointless his outburst...point taken Eren was kind of emotional before everything came into motion, but not to that level... it feels out of character and cringe worthy. The need to make a more sympathetic villain is ruining bad guys. The words hero and villain has no meaning in grey areas... not every character must be a merge of the both... to me Eren died for nothing! Again, not because of the cyclical meaning of war among humanity, that i liked it... but he died for nothing in the sense of how he accomplish what he wanted... he died a wimpy villain try to be a martyr and without free will... and thats the last thing I dont like of this ending... if Eren regrets everything that he's done, but can't change it because is ""all for the better"" why not search for a better solution with the same friends that he so fondly remarks as wise and loving? And in the same thought, if he can't change it because of how the powers of the attack titan worked, who put everything in motion?either way, Eren give up his free will as a fool or there's not an answer to all this mess and that is just bad writing. On a technical level the music, the battles and the voice acting, everything was great as always... and the story arcs and closure of other characters were good. It's not a great ending for me, but it's not bad by any means...",5
baluyutdonpaolo-11824,14 November 2023,"I have to say, this actually made me cry especially when Levi's scene at the end, ""Hey guys. Were you all watching that? It seems that this is how it ends. The goal that you all devoted your hearts to."" It gave a lot of feels because he is the lastI noticed that some panels were changed but still fits the story. MAPPA did their best in creating this finale and will improve more once creating the Blu-Ray. I also love the final ODM gear scene of Levi and Mikasa, that scene was awesome. For me, it tells us no matter how peaceful the world is, there will always be conflict.Overall, the final chapters deliver the best ending to this masterpiece. Thank you for 10 years Attack on Titan, it has been an honor to all the fans of this show. The End...",10
xxisooodyxx,13 November 2023,The end of this masterpiece the greatest show ever i've really enjoyed of every episode on this show and now we can say goodbye Attack On Titan amazing from everything plot twist story characters write is really hurt to see ur favorite show end thanks for isiyama for this amazing show we really give us a masterpiece show I really liked it. Really love it i enjoyed a lot in this anime from the first episode to the last everything written from the writer he was a plan for everything in the end i can see he is just on the top one he got the top one and still in the top one thanks for studio mappa and wit to animated this masterpiece.,10
yourlittletsun,13 November 2023,"A realistic ending that left many plotholes. The first time I finished watching this last episode, I was confused and upset that my favorite character died. Well, eventually EVERYONE died in the end right?The animation and nostalgic soundtracks carried this episode. Although, I still wished they could've done better pacing in the anime. It jumped from places to places too quickly. What was that worm? Why was Ymir in love with the abusive King? Did Mikasa WALK all the way back to Paradis??? Was Levi outside Paradis with Gabi and Falco? There are so many questions in my head left unanswered.Even if Eren was being a realistic character during his breakdown, I still wished they erased that from the anime and changed it to a more calming confession. I think the sudden outburst was kind of cringe.I wish they could've find a better reasoning to free Ymir than her sudden LOVE for the KING. Even until now, I still felt weird about it. Sorry, but I just thought Isayama was trying so hard to pull another plot twist that just died like that. Honestly, I believed he had always been a genius with previous seasons. So, what happened in here?Regardless, I still respect Hajime Isayama's work. The unexpected realistic ending gave a punch to the real world. Especially with the never ending cycle of hatred and war. This anime had shown beautiful metaphors and important morals.As an anime-only fan of this series, I couldn't avoid spoilers. Yes, I was spoiled about Eren's death and heard how manga readers hated the ending. After this episode aired, I could see why but I did not hate it nor loved it. I think it's not AOT if it's not painful.Overall, I would give this episode a solid 7.Thank you for the past 10 years of incredible journey, I will miss this series so much.",7
domrlol,11 November 2023,"First I want to start off by saying Attack on Titan is still my favourite show/story of all time. I won't let me not enjoying the conclusion ruin the show. I started watching in 2020 but I have followed the story much closer than most. I watched videos after videos about this show and I eventually became a manga reader in 2021. I joined the hype of the last chapters but unfortunately chapters 137 and onward fall short. I'll explain why I think they are bad and also why the anime plot-wise does it even worse.However I want to start with the good things about this episode, the anime adaptation is stunning. The animation has a massive step up from the previous parts done by MAPPA and doesn't disappoint at all. Some of the scenes in this final episode are some of the best in the series. To go with the visuals the music choices were very good for the most part, bringing back many classics from the WIT days. Unfortunately that's where my pros end.My biggest problem with this ending is the character assassination of Eren. I'm not just talking about the Eren and Armin scene either, Eren makes terrible decisions in the end which I will get to. But before I do that I want to mention the attempt to cover up Eren making bad decisions in the Anime was because he was simply an idiot with too much power. It's disgusting. Either Isayama or someone at MAPPA chose to do this to cover up the flaws of this ending.Let's get into the Eren and Armin conversation and
what the hell happened with the writing. Like a lot of people seem to think, I do not think Erens outburst was in line with his character at all. Sure, Eren always had his moments when he started crying but here he cries about Mikasa. Eren and Mikasa didn't have a romantic relationship at all throughout the series. The only time it's seriously brought up is when Eren asks her ""what am I to you?"", and Mikasa couldn't even confess to him. And before someone says that if she said she loves him that they would run away to the cabin as shown in the ""alternate timeline"", no that is not an alternate timeline, that is simply a memory made by Eren given to Mikasa right before she kills him. He said he hated her, and he meant it, the dialogue was written in a way that he actually meant what he said. Eren Jaeger was retconned. He wasn't pretending in his private conversations with Historia and Floch, he wasn't pretending at the table scene, he wasn't pretending. Eren wanted to free Paradis Island, not just his friends like the Finale makes it out to be. He failed to save Paradis because of his terrible 80% plan. Out of all the options Eren supposedly had tested (the Armin conversation implies this), he picked the worst one. The Euthanasia Plan was better, 100% Rumbling was better and you could put in an argument that the 50 year plan was better also. Eren failed his nation. He killed 80% of humanity (including his own mother) just so all his friends could live long lives (oh wait, except from Sasha). His answer to Armin asking why was that he doesn't know and he just felt like he had to do it. What is that, is that Eren? Really? One of the best main characters I've ever seen has just said that. It gets even worse when he says he is an idiot with too much power, I thought AOT was deeper than this, It's a terrible way to sum up Erens character. Yes Eren was an angry stupid child that wanted to kill in the beginning but he learns that titans are humans and that the humans fighting him are the same as him. When Reiner talks to Eren in the basement about when he said that he would kill him and Bertholdt in the worst possible way, Eren simply says that he vaguely remembers saying that, implying that he doesn't think like that anymore. He isn't just an idiot who kills for the sake of killing, he isn't mentally ill, I don't want to hear this. Armin's famous quote about becoming a monster to overcome one is thrown out the window because it just doesn't fit in anymore. 100% Rumbling was the way to go, I don't want to sound like a maniac but if Eren has already killed so much people with his motivations, what's 20% more? With the 100% Rumbling Eren would have lived and if HE TOLD HIS CLOSEST FRIENDS ON PARADIS they would have lived too. They would have lived without conflict like they ended up in the actual conclusion. Hell, Eren left them in a bad position. The Avengers are literally discussing the possibility of their boat being sunk because they are the ones that have to take responsibility and do peace talks. It was not explained why Eren told Floch and better yet why Floch actually agreed to him after what happened with Erwin. If Floch wasn't stupid he would have said that if you can't even sacrifice Armin then what can you. But thats just bad writing. Eren always planned to destroy the world and Isayama knew of this. It was implied over and over and over throughout the series. Maybe not the biggest evidence but the funniest is when the Rumbling reaches Marley and they spot the Attack Titan, Eren literally says to himself that he will wipe out every last one of them that's on this earth. Why would he lie in an internal monologue. Eren Jaeger was retconned and handled horribly in the Finale. From Hero to Zero couldn't be more true here. He simply failed. Attack on Titan deserved a grim realistic ending and not the Disney one we got. It goes against everything the show has been building up.Founder Ymir is also a victim of bad writing in the finale. She supposedly loved King Fritz (this is fine) and her seeing Mikasa kill Eren set her free. This set her free because she saw Mikasa being able to let go of her love for Eren. But WAIT. No, Mikasa continues to obsess over Eren for the rest of her life so this is really stupid. And okay even if this was just a breaking point for Ymir and she was able to just leave, then why couldn't she have done this earlier. She is the founder, she knows everything that was going to happen, she could have left years ago. Even if she didn't know what was going to happen she had a whole 2000 years to think about it. Isayama are you really trying to tell me that she could have walked away at any minute? This is really bad because either you wrote her to be the biggest idiot of all time and I don't think this was the case judging by what we've seen before the finale or this is terrible writing. And hint hint its the second one indefinitely.Lastly I want to speak about Historia. This is my last factor to this review but there is so much more bad to speak of about the plot in the ending. Historia became a pointless character in S4. Her pregnancy became irrelevant. Why was it such a big deal if it was with a random farmer? Why was she shown given birth during the horrid scenes of the rumbling (which were fantastically done btw)? It's sad to see a very well written character go to waste. Eren and Historia made a lot more sense, they had more in common than Eren and Mikasa ever did and they actually had meaningful conversations between the two of them. It's sad, really sad.Like I said I have plenty more to talk about like the problems with the Alliance (mainly the treatment of Annie) but I think I'll save it.Attack On Titan is still fantastic and I will never forget the rollercoaster of emotions that it gave me until the very end. I absolutely still recommend this show even if you are just interested in action. It has great moments that I will never forget. Overall I still give Attack On Titan a 9.5/10 because as I said I don't want to let the ending ruin it for me.I want to thank WIT and MAPPA for brining this great manga to life. And of course thank you Isayama for this masterpiece, I wouldn't have got through these years without it. That's it from me, if you enjoy the ending then very good for you! I wish I also did, but I hope you were able to understand my points.",4
classher,10 November 2023,The Eren-Mikasa love story aspect was too underdeveloped that it was not a convincing plot point in the last episode. The romance was always glossed over in previous episodes but suddenly it was forcibly used as a main plot device. Armin and Eren talking about love interests in the midst of a world-ending genocide feels absurdly out of place and highly comical. The creators slowly built up Eren's character but instantly abandoned all of that development as it was revealed in Eren's own words that he didn't even know why he fought so hard and why he did what he did and his mind wasn't even his own because it was clouded by the Titan's powers. Characters that did unforgivable stuff albeit not in the scale of the Rumbling were rewarded a happy ending to reunite with loved ones and to live the rest of their lives in peace and prosperity like a fairy tale ending which was an unwelcome 180 degree turn in the atmosphere of hopelessness and horror that was built leading up to the final episode.,2
naghini-31168,9 November 2023,"Alright so listen, I am not a fan of Anime, i've only watched a handful start to finish, maybe 10-15 max. But I do like watching series and no matter anime or not, the way this series was thought of and planned, i mean common, a MASTERPIECE. From start to finish, never a boring episode, storyline absolutely incredible ( I did not read manga or anything , I am just a regular fan of this Anime series) , WOW moments every season with plots so great that I couldn't even imagine. But to end like that, I just can't be upset - it is a perfect ending that i have never seen in other shows. I think the only bad reviews this show can get is from people that wanted it to never end because every season WAS SO GOD DAMN GOOD!.",10
spegani,9 November 2023,"I need to let it sink in for a bit, right now i'd probably give it 9-9.5, but i think after rewatching it i'd like it a lot more. I'm still rating it a 10 right now because of the really awful 1-star reviews though lol.As always, the animation was absolutely GORGEOUS, but that's expected from studio mappa. Also as always i still really enjoy the facial shading that they use (although this is present through this entire season)I really liked the narrative and plot twists they threw in, and from what i heard (and saw) the changes they made while adapting the manga to the anime were really good and made the characters and narrative stronger.",10
jbgshccf,9 November 2023,"Isayama you madman. Whatever that quote says about there is no Genius without a mixture of madness. Yeah they were spot on. I followed the show from beginning to end (including all the annoying 1-2 year breaks and change of Animation house) and to say it was all worth it would be an understatement. AOT is a Epic wild ride of an anime, with Isayama brave enough to ask difficult questions of his audience with such dark, adult & heavy themes such as genocide, nationalism, the consequence of sin and yet he still manages to weave in beautifully layered characters with their own stories about choice, freedom, fear and perseverance in the face of insurmountable odds in such a calculated, well-written way that it almost defies its Anime category and typical conventions of the medium. I highly recommend Attack on Titan.",10
zakmasterson-59436,9 November 2023,"For me I think this is a pretty great ending for this anime overall. While yes I don't thinks it's a perfect ending like some other anime I think it's an ending that leaves the viewer with somewhat of a bittersweet feeling while also giving the viewer a grim reminder of humanity's detrsuctive tendencies which I think is perfect for aot. I see why people dislike this ending but honestly if people were expecting a show like ATTACK ON TITAN one of the most cruel and depressing anime to have a happy go lucky ending where the hero rides off into the sunset they were watching the wrong show.Did it feel a bit rushed ? Yes I'll admit it did, and I thought some scenes during the credits were unnecessary and were kind of beating the viewer over the head with the theme, I think it should've been a bit more subtle however I think the final scene after the credits was awesome.Overall a very good ending to what I would consider to be one of the best shows of all time......",9
gnjwthfyjc,9 November 2023,"This episode had everything. Action, drama, fear, romance, great music, great animation and above all a great ending. This finale was extraordinary and has nothing left to ask. It was sad yet beautiful and showed us how history repeats itself, which what attack on titan has always been about. This ending has explained some questions we had like why when eren began the rumbling, he talked to all subjects of ymir that he was going to kill them, or why he left all eldians and armin and the others use their powers freely. There couldn't have been a better ending. I'm happy to be a part of this show.",9
